"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2008",87.0599999999998,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2009",88.3124999999998,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2010",93.8824999999998,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2011",96.8649999999998,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2012",99.2049999999997,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2013",100.3525,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2014",99.9949999999999,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2016",101.285,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2017",102.3875,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2018",103.335,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2019",103.77,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2020",105.595,
"FIN","HOUSECOST","NOMINAL","IDX2015","A","2021",110.447500000953,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","1991",45.0662450756207,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","1992",44.1858880401274,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","1993",43.8086044928703,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","1994",43.6828145518913,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","1995",41.9657001234463,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","1996",41.55,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","1997",41.4,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","1998",42.225,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","1999",45.15,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2000",49.1,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2001",52.975,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2002",57.55,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2003",64.4,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2004",74.075,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2005",85.525,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2006",95.825,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2007",102.075,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2008",103.025,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2009",95.7,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2010",100.575,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2011",106.55,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2012",105.975,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2013",103.8,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2014",101.925,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2016",100.925,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2017",103.975,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2018",107.125,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2019",110.7,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2020",116.825,
"FRA","HOUSECOST","NOMINAL","IDX2015","A","2021",124.65,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","1991",74.8106613468951,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","1992",78.8653822087728,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","1993",82.6653562102184,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","1994",86.0832099210158,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","1995",87.3569442231764,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","1996",86.1893544461959,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","1997",84.6608732836033,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","1998",83.8966327023069,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","1999",83.981548322451,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2000",84.3712109280274,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2001",84.4212110530277,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2002",83.3212083030209,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2003",83.6462091155229,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2004",82.3207058017646,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2005",83.3462083655211,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2006",83.021207553019,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2007",81.2452031130079,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2008",82.3457058642648,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2009",83.020957552394,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2010",83.8712096780243,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2011",86.7972169930426,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2012",89.7727244318112,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2013",92.5982314955789,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2014",95.498988747472,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2016",107.527268818172,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2017",114.103785259463,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2018",121.680804202011,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2019",128.707321768305,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2020",138.684846712117,
"DEU","HOUSECOST","NOMINAL","IDX2015","A","2021",154.739386842701,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","1997",63.6514050320715,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","1998",72.788602752781,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","1999",79.2635997243898,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2000",87.6405561613815,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2001",100.262090360286,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2002",114.154803224307,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2003",120.30972455919,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2004",123.094481235265,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2005",136.5048613216,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2006",154.57875,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2007",163.77575,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2008",166.53825,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2009",160.344,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2010",152.88,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2011",144.52275,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2012",127.67075,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2013",113.81625,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2014",105.32025,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2016",97.623,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2017",96.63425,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2018",98.379,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2019",105.4815,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2020",110.22325,
"GRC","HOUSECOST","NOMINAL","IDX2015","A","2021",118.558500001166,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2007",98.9099999996598,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2008",101.2575,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2009",95.9525000000001,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2010",93.6600000000001,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2011",90.4475000000001,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2012",87.0975000000001,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2013",84.8700000000001,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2014",88.4275000000001,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2016",113.3775,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2017",127.24,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2018",145.495,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2019",170.1675,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2020",178.5775,
"HUN","HOUSECOST","NOMINAL","IDX2015","A","2021",208.037500011024,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1991",30.2831705642593,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1992",30.8573910463924,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1993",31.4936546784567,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1994",32.99563813983,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1995",35.0683934999646,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1996",38.0783484174746,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1997",43.6759008417445,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1998",54.2163078125608,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1999",65.8752157738259,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2000",79.4744848445133,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2001",89.3205038780744,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2002",95.5530972548496,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2003",109.141769769359,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2004",121.325332664479,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2005",131.81375,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2006",151.417,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2007",162.69375,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2008",151.4,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2009",122.412,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2010",105.976,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2011",87.8815000000001,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2012",76.03775,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2013",77.0045,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2014",89.7232500000001,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2016",107.4845,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2017",119.16175,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2018",131.3635,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2019",134.43075,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2020",134.84725,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2021",145.999500000871,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","1991",62.4373424463658,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","1992",66.3044567293194,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","1993",66.4541401145842,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","1994",64.5597648004823,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","1995",65.0548939591917,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","1996",62.9097256005627,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","1997",60.0038134485877,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","1998",61.2555774449692,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","1999",64.6687988742586,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2000",70.0132294702984,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2001",75.7549080309578,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2002",83.0117639963814,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2003",91.5445974469794,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2004",100.636689114483,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2005",108.225783495829,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2006",115.191197105237,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2007",121.130252286662,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2008",123.17709920595,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2009",118.646535330184,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2010",118.1,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2011",119.7,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2012",116.65,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2013",109.1,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2014",103.95,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2016",100.25,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2017",99.1749999999999,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2018",98.6249999999999,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2019",98.5249999999999,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2020",100.4,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2021",102.950000000985,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2007",74.4201860484585,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2008",76.9076922692307,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2009",76.0201900504752,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2010",80.1402003505009,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2011",83.0874577186443,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2012",86.5754664386662,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2013",90.8947272368182,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2014",94.8777371943431,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2016",106.006265015663,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2017",111.95977989945,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2018",119.861799654499,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2019",131.986829967075,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2020",151.114627786569,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2021",172.151180382064,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1991",29.9698629184827,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1992",32.4820876575323,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1993",35.1611501600251,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1994",39.494173261526,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1995",42.3406648511805,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1996",46.902304965575,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1997",52.4870477461202,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1998",58.1938003205893,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1999",67.7112682034611,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2000",80.063344885072,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2001",88.9425773677409,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2002",94.6587348051619,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2003",98.0377274824912,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2004",102.289598443191,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2005",106.2215,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2006",110.76025,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2007",116.124,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2008",118.66975,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2009",113.37825,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2010",111.428,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2011",109.21725,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2012",101.8855,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2013",95.7715000000002,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2014",96.5565000000002,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2016",105.0515,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2017",112.97825,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2018",123.65575,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2019",132.658,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2020",142.7605,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2021",164.241000001341,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2005",56.0049999974334,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2006",76.515,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2007",113.8175,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2008",112.9175,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2009",109.77,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2010",105.61,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2011",105.695,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2012",102.005,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2013",97.535,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2014",98.5,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2016",101.8575,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2017",105.7825,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2018",112.7425,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2019",122.5225,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2020",135.3625,
"POL","HOUSECOST","NOMINAL","IDX2015","A","2021",147.772500002094,
"PRT","HOUSECOST","NOMINAL","IDX2015","A","1991",65.6281842585632,
"PRT","HOUSECOST","NOMINAL","IDX2015","A","1992",73.7891578975625,
"PRT","HOUSECOST","NOMINAL","IDX2015","A","1993",74.7224079244067,
"PRT","HOUSECOST","NOMINAL","IDX2015","A","1994",76.4272202834746,
"PRT","HOUSECOST","NOMINAL","IDX2015","A","1995",77.5987469129174,
